owner_info,BHK_info,price_info,locality_info,con_sta,pri_in,Area_inf
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
